cnr	kval varb dust popul rescale

105		2	0 	T 	T	F
106		1	1	F	F	F
107		2	0.2	F	T	F
108		1.5	0	F	T	F
113		2	0	F	T	F
114		1.5	0.2	F	T	F
115		2	0	F	F	T
116		1.7	0	T	T	T
117		1.8	0	F	T	F
118		2	0	T	T	F
120		1.7	0	T	T	F
121		2	0	F	T	F
122		2	0	F	T	F
123		2	0	F	T	T
124		1.5	0	T	T	F
125		1	0	T	T	F
139		1.5	0.2	F	T	F
140		0.5	0.5	F	F	F
147		2	0	F	T	F
148		1.7	0	T	T	F
149		2	0	T	T	F
150		1.3	0	T	T	T
153		1.5	0	T	T	F
157		2	0	T	T	F
158		1.8	0	T	T	F
159		2	0	F	T	F
160		1	0	F	T	F
161		0.5	0	T	F	F
163		1.8	1	F	F	F
164		1.0	0	T	T	F
165		2	1	F	F	F
167		1	1	F	F	F
174		2	0.1	F	T	F
177		1.3	1	F	F	F
178		0.5	1	F	F	F
182		1.5	0	T	T	F
186		2	0	F	T	F
187		1.3	0	T	T	F
188		1.6	0	T	T	T
189		2	0	F	T	T
190		2	0.4	F	T	F
191		2	0	T	T	F
192		1.6	0	T	T	T
193		1.8	0	F	T	F
194		2	0	T	T	F
195		1.6	0.1	F	T	F
196		2	0	F	T	F
197		1.7	0	T	T	F
198		1	1	F	F	F
199		2	0	T	T	F
200		1.8	0	F	T	F
201		0.8	0.3	F	F	F
202		2	0.1	F	T	F
203		1	0	T	F	F
204		1.2	0	T	F	F
205		1.8	0.3	F	T	F
206		1.5	0	T	T	F
207		1.6	0.8	F	T	F
208		1	1	F	F	F
243		1.8	0.1	F	T	F
244		1.5	1	F	F	F
263		1.9	0.2	T	T	F
264		0.2	1	F	F	F
287		1	0	F	T	T
288		1.1	0.4	T	F	F
289		1.3	0.4	F	F	F
291		2	0	T	T	F
304		1.9	0	T	T	F
323		2	0	F	T	T
327		1.7	0.1	F	T	F
328		0.4	0	F	F	F
331		0.9	0	T	T	F
332		1.6	0.1	F	T	T
333		0.2	1	F	F	T
336		1.3	1	F	F	F
337		1	0	T	T	F
356		1.3	0	T	T	F
357		1.3	0.2	T	F	F
369		1.8	1	F	F	F
371		0.9	0	T	F	F
372		1.3	0	F	T	F
373		2	0	F	T	F
374		1	0	F	T	F
375		1.6	0	T	T	F
376		1.7	0	T	T	F
377		1.2	1	F	F	F
380		1.9	0	F	T	F
385		2	0	T	T	F
389		1.5	0	T	T	F
390		1.1	0.7	T	F	F
393		2	0	T	T	F
394		1.7	0	T	T	F
395		0.8	0	T	T	F
397		1.9	0	F	T	F
399		2	0.8	T	F	F
400		0.8	0.4	F	F	F
407		1.7	0	T	T	T
409		2	0	T	T	F
411		1.1	1	F	F	F
412		1.8	0	F	T	F
413		1.9	0	T	T	F
423		2	0	T	T	F
424		0.1	1	F	F	F
425		1.6	0.1	F	T	F
426		1.9	0	T	T	F
427		1.6	0	T	T	F
428		1.7	1	F	F	T
429		1.7	0	F	T	F
451		0.8	0.2	F	T	F
452		1.3	0.2	F	T	F
453		1	1	T	F	F
454		1	1	F	F	F
456		1.3	1	F	F	F
475		1.3	0.6	T	F	F
476		1.0	0	T	T	F
477		1.4	0.8	F	F	T
478		0.2	1.0	F	F	F
479		1.1	0.8	F	T	F
519		1.3	1	F	F	F
520		0.7	0	T	T	F
521		0.9	1	F	F	F
